;Steps
0;918.0
1;1009.0
2;478.0
3;483.0
4;225.0
5;78.0
6;161.0
7;235.0
8;38.0
9;84.0
10;173.0
11;126.0
12;241.0
13;50.0
14;98.0
15;48.0
16;156.0
17;89.0
18;75.0
19;193.0
20;75.0
21;122.0
22;24.0
23;59.0
24;18.0
25;53.0
26;43.0
27;95.0
28;105.0
29;36.0
30;162.0
31;74.0
32;40.0
33;102.0
34;42.0
35;54.0
36;60.0
37;100.0
38;90.0
39;99.0
40;53.0
41;29.0
42;34.0
43;60.0
44;34.0
45;34.0
46;53.0
47;58.0
48;70.0
49;50.0
50;28.0
51;29.0
52;31.0
53;54.0
54;75.0
55;69.0
56;23.0
57;30.0
58;44.0
59;38.0
60;43.0
61;49.0
62;68.0
63;25.0
64;26.0
65;32.0
66;32.0
67;39.0
68;36.0
69;34.0
70;69.0
71;21.0
72;27.0
73;20.0
74;21.0
75;50.0
76;40.0
77;40.0
78;56.0
79;28.0
80;33.0
81;35.0
82;24.0
83;66.0
84;31.0
85;44.0
86;18.0
87;23.0
88;30.0
89;62.0
90;87.0
91;25.0
92;21.0
93;53.0
94;37.0
95;30.0
96;30.0
97;35.0
98;30.0
99;26.0
100;28.0
101;28.0
102;20.0
103;29.0
104;24.0
105;69.0
106;54.0
107;28.0
108;20.0
109;28.0
110;59.0
111;34.0
112;52.0
113;35.0
114;28.0
115;19.0
116;21.0
117;29.0
118;30.0
119;45.0
120;23.0
121;24.0
122;30.0
123;21.0
124;23.0
125;24.0
126;26.0
127;38.0
128;31.0
129;23.0
130;18.0
131;27.0
132;28.0
133;30.0
134;19.0
135;20.0
136;24.0
137;35.0
138;23.0
139;31.0
140;30.0
141;16.0
142;28.0
143;44.0
144;22.0
145;42.0
146;20.0
147;22.0
148;21.0
149;36.0
150;18.0
151;16.0
152;45.0
153;18.0
154;21.0
155;18.0
156;21.0
157;17.0
158;37.0
159;28.0
160;15.0
161;36.0
162;17.0
163;20.0
164;16.0
165;29.0
166;28.0
167;20.0
168;15.0
169;45.0
170;18.0
171;15.0
172;17.0
173;24.0
174;19.0
175;22.0
176;16.0
177;22.0
178;25.0
179;28.0
180;22.0
181;15.0
182;28.0
183;24.0
184;19.0
185;29.0
186;16.0
187;15.0
188;19.0
189;16.0
190;18.0
191;22.0
192;25.0
193;15.0
194;20.0
195;24.0
196;19.0
197;16.0
198;17.0
199;22.0
200;35.0
201;33.0
202;22.0
203;21.0
204;18.0
205;21.0
206;25.0
207;30.0
208;17.0
209;19.0
210;15.0
211;17.0
212;20.0
213;18.0
214;18.0
215;27.0
216;28.0
217;20.0
218;26.0
219;18.0
220;17.0
221;21.0
222;16.0
223;24.0
224;21.0
225;17.0
226;20.0
227;21.0
228;15.0
229;22.0
230;24.0
231;17.0
232;16.0
233;18.0
234;21.0
235;25.0
236;16.0
237;25.0
238;20.0
239;17.0
240;19.0
241;30.0
242;27.0
243;16.0
244;22.0
245;22.0
246;25.0
247;19.0
248;24.0
249;21.0
250;24.0
251;23.0
252;15.0
253;19.0
254;16.0
255;21.0
256;22.0
257;18.0
258;28.0
259;17.0
260;19.0
261;21.0
262;25.0
263;22.0
264;20.0
265;35.0
266;15.0
267;18.0
268;18.0
269;19.0
270;20.0
271;18.0
272;19.0
273;19.0
274;23.0
275;26.0
276;17.0
277;15.0
278;17.0
279;20.0
280;22.0
281;20.0
282;17.0
283;15.0
284;21.0
285;22.0
286;18.0
287;21.0
288;18.0
289;18.0
290;17.0
291;19.0
292;17.0
293;29.0
294;18.0
295;23.0
296;18.0
297;26.0
298;17.0
299;16.0
300;26.0
301;18.0
302;15.0
303;17.0
304;15.0
305;18.0
306;19.0
307;26.0
308;18.0
309;18.0
310;18.0
311;18.0
312;18.0
313;16.0
314;16.0
315;22.0
316;28.0
317;27.0
318;20.0
319;19.0
320;18.0
321;16.0
322;21.0
323;21.0
324;24.0
325;20.0
326;21.0
327;27.0
328;19.0
329;20.0
330;18.0
331;17.0
332;21.0
333;17.0
334;17.0
335;15.0
336;19.0
337;23.0
338;19.0
339;17.0
340;16.0
341;21.0
342;28.0
343;27.0
344;29.0
345;15.0
346;26.0
347;21.0
348;22.0
349;16.0
350;29.0
351;15.0
352;19.0
353;15.0
354;25.0
355;18.0
356;16.0
357;20.0
