;Steps
0;1713.0
1;532.0
2;600.0
3;388.0
4;220.0
5;338.0
6;104.0
7;346.0
8;305.0
9;52.0
10;66.0
11;361.0
12;45.0
13;231.0
14;164.0
15;191.0
16;83.0
17;81.0
18;161.0
19;98.0
20;102.0
21;55.0
22;185.0
23;123.0
24;61.0
25;93.0
26;142.0
27;56.0
28;69.0
29;138.0
30;126.0
31;151.0
32;26.0
33;59.0
34;29.0
35;43.0
36;165.0
37;28.0
38;68.0
39;56.0
40;68.0
41;211.0
42;171.0
43;33.0
44;35.0
45;24.0
46;201.0
47;98.0
48;114.0
49;29.0
50;60.0
51;19.0
52;80.0
53;30.0
54;54.0
55;35.0
56;65.0
57;52.0
58;42.0
59;23.0
60;67.0
61;159.0
62;54.0
63;46.0
64;29.0
65;41.0
66;62.0
67;132.0
68;36.0
69;51.0
70;28.0
71;46.0
72;149.0
73;28.0
74;97.0
75;34.0
76;48.0
77;30.0
78;27.0
79;148.0
80;39.0
81;51.0
82;93.0
83;193.0
84;23.0
85;48.0
86;33.0
87;54.0
88;27.0
89;40.0
90;33.0
91;26.0
92;76.0
93;25.0
94;120.0
95;40.0
96;82.0
97;23.0
98;89.0
99;36.0
100;80.0
101;50.0
102;31.0
103;49.0
104;45.0
105;25.0
106;58.0
107;56.0
108;127.0
109;94.0
110;47.0
111;28.0
112;76.0
113;25.0
114;31.0
115;27.0
116;51.0
117;41.0
118;62.0
119;26.0
120;52.0
121;28.0
122;91.0
123;88.0
124;31.0
125;58.0
126;42.0
127;29.0
128;53.0
129;24.0
130;97.0
131;30.0
132;44.0
133;89.0
134;46.0
135;52.0
136;24.0
137;42.0
138;23.0
139;32.0
140;56.0
141;21.0
142;37.0
143;76.0
144;27.0
145;62.0
146;79.0
147;51.0
148;26.0
149;42.0
150;29.0
151;29.0
152;84.0
153;29.0
154;39.0
155;25.0
156;125.0
157;29.0
158;25.0
159;69.0
160;38.0
161;23.0
162;45.0
163;66.0
164;26.0
165;53.0
166;47.0
167;26.0
168;103.0
169;52.0
170;24.0
171;29.0
172;23.0
173;44.0
174;64.0
